FH,SQ,Q,FX,SIN_HOUR,COS_HOUR
9.0,0.0,0.0,12.0,0.51958394,0.51958394
9.0,0.0,0.0,11.0,0.730836,0.730836
11.0,0.0,0.0,14.0,0.8878852,0.8878852
12.0,0.0,0.0,14.0,0.9790841,0.9790841
12.0,0.0,1.0,15.0,0.99766874,0.99766874
12.0,0.2,21.0,15.0,0.9422609,0.9422609
12.0,0.8,77.0,15.0,0.8169699,0.8169699
13.0,0.7,81.0,16.0,0.63108796,0.63108796
13.0,0.7,120.0,19.0,0.39840108,0.39840108
14.0,0.5,116.0,18.0,0.13616665,0.13616665
14.0,0.9,185.0,18.0,-0.13616665,-0.13616665
14.0,0.9,192.0,19.0,-0.39840108,-0.39840108
13.0,0.4,100.0,18.0,-0.63108796,-0.63108796
13.0,0.9,136.0,18.0,-0.8169699,-0.8169699
12.0,0.7,77.0,18.0,-0.9422609,-0.9422609
10.0,0.7,36.0,16.0,-0.99766874,-0.99766874
13.0,0.0,6.0,20.0,-0.9790841,-0.9790841
11.0,0.0,0.0,14.0,-0.8878852,-0.8878852
12.0,0.0,0.0,14.0,-0.730836,-0.730836
11.0,0.0,0.0,15.0,-0.51958394,-0.51958394
13.0,0.0,0.0,17.0,-0.26979676,-0.26979676
14.0,0.0,0.0,19.0,-2.4492937e-16,-2.4492937e-16
15.0,0.0,0.0,18.0,0.26979676,0.26979676
15.0,0.0,0.0,19.0,0.51958394,0.51958394
12.0,0.0,0.0,16.0,0.730836,0.730836
11.0,0.0,0.0,14.0,0.8878852,0.8878852
13.0,0.0,0.0,19.0,0.9790841,0.9790841
14.0,0.0,1.0,19.0,0.99766874,0.99766874
14.0,0.2,20.0,19.0,0.9422609,0.9422609
15.0,0.0,23.0,21.0,0.8169699,0.8169699
15.0,0.0,24.0,20.0,0.63108796,0.63108796
16.0,0.2,78.0,21.0,0.39840108,0.39840108
16.0,0.3,95.0,20.0,0.13616665,0.13616665
16.0,0.0,88.0,20.0,-0.13616665,-0.13616665
16.0,0.0,59.0,22.0,-0.39840108,-0.39840108
16.0,0.0,51.0,20.0,-0.63108796,-0.63108796
15.0,0.2,60.0,19.0,-0.8169699,-0.8169699
14.0,0.2,41.0,18.0,-0.9422609,-0.9422609
14.0,0.8,50.0,18.0,-0.99766874,-0.99766874
13.0,0.2,8.0,17.0,-0.9790841,-0.9790841
13.0,0.0,0.0,21.0,-0.8878852,-0.8878852
12.0,0.0,0.0,15.0,-0.730836,-0.730836
11.0,0.0,0.0,16.0,-0.51958394,-0.51958394
10.0,0.0,0.0,14.0,-0.26979676,-0.26979676
9.0,0.0,0.0,12.0,-2.4492937e-16,-2.4492937e-16
6.0,0.0,0.0,8.0,0.26979676,0.26979676
6.0,0.0,0.0,8.0,0.51958394,0.51958394
